Categoria;Marca;Modelo;Versão;Motor;Tipo de Propulsão;Transmissão;Ar Condicionado;Direção Assistida;Combustível;Poluentes(NMOG+NOx [mg/km]);Poluentes(CO [mg/km]);Poluentes(CHO [mg/km]);Redução Relativa ao Limite;Gás Efeito Estufa (Etanol [CO2 fóssil] [g/km]);Gás Efeito Estufa (Gasolina ou Diesel [CO2 fóssil] [g/km]);Gás Efeito Estufa (VEHP [CO2 fóssil] [g/km]);Km - (Etanol[Cidade][km/l]);Km - (Etanol[Estrada][km/l]);Km - (Gasolina ou Diesel[Cidade][km/l]);Km - (Gasolina ou Diesel[Estrada][km/l]);Km - (Elétrico quando VE ou VEHP [Cidade][km/le]);Km - (Elétrico quando VE ou VEHP [Estrada][km/le]);Consumo Energético;Autonomia modo Elétrico;Classificação PBE (Comparação Relativa);Classificação PBE (Absoluta na Categoria);Selo CONPET de Eficiência Energética;
Médio;VW;POLO;MPI (MY23);1.0-12V;Combustão;M-5;S;E;F;33;140;3;B;0;94;\;9,2;10,7;13,4;15,1;\;\;1,51;\;A;B;SIM;
Médio;VW;POLO;TRACKMPI (MY24);1.0-12V;Combustão;M -5;S;E;F;38;150;3;B;0;91;\;9,4;10,8;13,7;15,2;\;\;1,48;\;A;B;SIM;
Médio;VW;POLO;MPI (MY24);1.0-12V;Combustão;M-5;S;E;F;38;150;3;B;0;91;\;9,4;10,8;13,7;15,2;\;\;1,48;\;A;B;SIM;
Médio;VW;POLO;TSI MANUAL;1.0-12V;Combustão;M -5;S;E;F;44;310;3;B;0;89;\;9,5;11,3;13,7;16,1;\;\;1,45;\;A;B;SIM;
Médio;VW;POLO;COMFORTLINETSI AUTOMÁTICO;1.0-12V;Combustão;A-6;S;E;F;52;127;5;B;0;98;\;8,5;10,6;12,5;15,1;\;\;1,59;\;B;C;-;
Médio;VW;POLO;SENSETSI AUTOMÁTICO;1.0-12V;Combustão;A-6;S;E;F;52;127;5;B;0;98;\;8,5;10,6;12,5;15,1;\;\;1,59;\;B;C;-;
Médio;VW;POLO;HIGHLINETSI AUTOMÁTICO;1.0-12V;Combustão;A-6;S;E;F;49;157;4;B;0;100;\;8,5;10,4;12,3;14,6;\;\;1,62;\;B;C;-;
Médio;VW;POLO;GTS250TSI AUTOMÁTICO;1.4-16V;Combustão;A-6;S;E;F;39;161;3;B;0;106;\;8,1;9,8;11,6;13,8;\;\;1,72;\;C;C;-;
Médio;VW;POLO;TRACKROCKINRIO1.0MPI;1.0-12V;Combustão;M -5;S;E;F;38;150;3;B;0;91;\;9,4;10,8;13,7;15,2;\;\;1,48;\;A;B;SIM;
Médio;VW;POLO;TRACKROBUST1.0MPI;1.0-12V;Combustão;M -5;S;E;F;38;150;3;B;0;91;\;9,4;10,8;13,7;15,2;\;\;1,48;\;A;B;SIM;
Médio;VW;VIRTUS;TSI MANUAL(MY24);1.0-12V;Combustão;M -5;S;E;F;42;351;4;B;0;97;\;8,9;10,8;12,5;15,4;\;\;1,56;\;B;C;-;
Médio;VW;VIRTUS;TSI AUTOMÁTICO(MY24);1.0-12V;Combustão;A-6;S;E;F;49;162;4;B;0;100;\;8,4;10,5;12,1;14,8;\;\;1,63;\;B;C;-;
Médio;VW;VIRTUS;COMFORTLINE200TSI AUTOMÁTICO;1.0-12V;Combustão;A-6;S;E;F;48;152;4;B;0;102;\;8,3;10,2;12,1;14,4;\;\;1,66;\;B;C;-;
Médio;VW;VIRTUS;HIGHLINE200TSI AUTOMÁTICO;1.0-12V;Combustão;A-6;S;E;F;48;152;4;B;0;102;\;8,3;10,2;12,1;14,4;\;\;1,66;\;B;C;-;
Médio;VW;VIRTUS;EXCLUSIVE250TSI AUTOMÁTICO;1.4-16V;Combustão;A-6;S;E;F;40;161;4;B;0;105;\;8,1;9,9;11,7;14,0;\;\;1,71;\;C;C;-;
Grande;AUDI;A3Sedan;Sline (ed. 0);2.0-16V;Híbrido;DCT-7;S;E;G;13;93;1;A;\;116;\;\;\;10,6;13,1;\;\;1,88;\;C;C;-;
Grande;AUDI;A3Sedan;PerformanceBlack (ed. 0);2.0-16V;Híbrido;DCT-7;S;E;G;13;93;1;A;\;116;\;\;\;10,6;13,1;\;\;1,88;\;C;C;-;
Grande;AUDI;A3Sedan;Sline;2.0-16V;Híbrido;DCT-7;S;E;G;12;88;1;A;\;116;\;\;\;10,8;12,9;\;\;1,87;\;C;C;-;
Grande;AUDI;A3Sedan;PerformanceBlack;2.0-16V;Híbrido;DCT-7;S;E;G;12;88;1;A;\;116;\;\;\;10,8;12,9;\;\;1,87;\;C;C;-;
Grande;BMW;218i;-;1.5-12V;Combustão;DCT-7;S;E;G;18;122;1;A;\;110;\;\;\;11,2;13,6;\;\;1,78;\;B;C;-;
Grande;BMW;iX1;xDrive30;Elétrico;Elétrico;A;S;E;E;0;0;0;A;\;0;0;\;\;\;\;35,3;29,0;0,63;303;A;A;-;
Grande;BMW;iX1;eDrive20;Elétrico;Elétrico;A;S;E;E;0;0;0;A;\;0;\;\;\;\;\;37,4;34,3;0,56;\;A;A;-;
Grande;BMW;iX2;xDrive30;Elétrico;Elétrico;A;S;E;E;0;0;0;A;\;0;\;\;\;\;\;38,5;33,0;0,57;337;A;A;-;
Grande;BYD;D1;GL180EV;Elétrico;Elétrico;N.A.;S;E;E;0;0;0;A;\;0;\;\;\;\;\;39,2;34,2;0,55;258;A;A;-;
Grande;BYD;D1;GS180EV;Elétrico;Elétrico;N.A.;S;E;E;0;0;0;A;\;0;\;\;\;\;\;39,2;34,2;0,55;258;A;A;-;
Grande;CAOACHERY;ARRIZO6;PRO;1.5T-16V;Combustão;CVT;S;E;F;52;179;2;B;0;115;\;7,4;9,2;10,6;13,4;\;\;1,86;\;C;C;-;
Grande;CAOACHERY;ARRIZO6;PROH;1.5T-16V;Híbrido;CVT;S;E;F;43;166;1;B;0;103;\;8,9;9,9;12,5;13,5;\;\;1,63;\;B;C;-;
Grande;CHEVROLET;CRUZE;LTNBAT;1.4T-16V;Combustão;A-6;S;E;F;17;275;2;B;0;114;\;7,1;9,7;10,5;13,9;\;\;1,86;\;C;C;-;
Grande;CHEVROLET;CRUZE;LTZ NBAT;1.4T-16V;Combustão;A-6;S;E;F;17;275;2;B;0;114;\;7,1;9,7;10,5;13,9;\;\;1,86;\;C;C;-;
Grande;CHEVROLET;CRUZE;MID NBAT;1.4T-16V;Combustão;A-6;S;E;F;17;275;2;B;0;114;\;7,1;9,7;10,5;13,9;\;\;1,86;\;C;C;-;
Grande;CHEVROLET;CRUZE;PRENBAT;1.4T-16V;Combustão;A-6;S;E;F;17;275;2;B;0;114;\;7,1;9,7;10,5;13,9;\;\;1,86;\;C;C;-;
Grande;CHEVROLET;CRUZE;PRE2NBAT;1.4T-16V;Combustão;A-6;S;E;F;17;275;2;B;0;114;\;7,1;9,7;10,5;13,9;\;\;1,86;\;C;C;-;
Grande;CHEVROLET;CRUZE;LTHBAT;1.4T-16V;Combustão;A-6;S;E;F;17;337;2;B;0;120;\;6,8;9,2;10,1;13,1;\;\;1,96;\;C;C;-;
Grande;CHEVROLET;CRUZE;LTZ HBAT;1.4T-16V;Combustão;A-6;S;E;F;17;337;2;B;0;120;\;6,8;9,2;10,1;13,1;\;\;1,96;\;C;C;-;
Grande;CHEVROLET;CRUZE;PREHBAT;1.4T-16V;Combustão;A-6;S;E;F;17;337;2;B;0;120;\;6,8;9,2;10,1;13,1;\;\;1,96;\;C;C;-;
Grande;CHEVROLET;CRUZE;PRE2HBAT;1.4T-16V;Combustão;A-6;S;E;F;17;337;2;B;0;120;\;6,8;9,2;10,1;13,1;\;\;1,96;\;C;C;-;
Grande;CHEVROLET;CRUZE;RSHBAT;1.4T-16V;Combustão;A-6;S;E;F;17;337;2;B;0;120;\;6,8;9,2;10,1;13,1;\;\;1,96;\;C;C;-;
Grande;HONDA;CIVICHYBRID;TOURING;2.0-16V;Híbrido;CVT;S;E;G;17;103;0;A;\;74;\;\;\;18,3;15,9;\;\;1,21;\;A;B;SIM;
Grande;HONDA;ZR-V;TOURING;2.0-16V;Combustão;CVT;S;E;G;11;167;0;A;\;122;\;\;\;10,2;12,1;\;\;1,98;\;C;C;-;
Grande;JEEP;COMPASS;S4XE;1.3-16VT;Plug-in;A-6;S;E;G;30;172;0;A;\;117;47;\;\;11,5;11,2;26,1;24,7;0,80;30;A;A;SIM;
Grande;KIA;NIRO;HEV1.6EX;1.6-16V;Híbrido;DCT-6;S;E;G;11;91;1;A;\;68;\;\;\;19,8;17,7;\;\;1,10;\;A;B;SIM;
Grande;KIA;NIRO;HEV1.6LX;1.6-16V;Híbrido;DCT-6;S;E;G;11;91;1;A;\;68;\;\;\;19,8;17,7;\;\;1,10;\;A;B;SIM;
Grande;KIA;NIRO;HEV1.6SX;1.6-16V;Híbrido;DCT-6;S;E;G;11;91;1;A;\;68;\;\;\;19,8;17,7;\;\;1,10;\;A;B;SIM;
Grande;LEXUS;UX250H;LUXURY;2.0-16V;Híbrido;CVT;S;E;G;12;73;1;A;\;82;\;\;\;16,6;14,7;\;\;1,33;\;A;B;SIM;
Grande;LEXUS;UX250H;DYNAMIC;2.0-16V;Híbrido;CVT;S;E;G;12;73;1;A;\;82;\;\;\;16,6;14,7;\;\;1,33;\;A;B;SIM;
Grande;MASERATI;GHIBLI;GTHYB;2,0L-16V;Híbrido;A-8;S;E;G;27;170;3;A;\;153;\;\;\;8,0;10,4;\;\;2,47;\;E;D;-;
Grande;Mercedes-Benz;AMGA35SD 4MATIC;;2.0-16V;Combustão;DCT-7;S;E;G;16;114;2;A;\;136;\;\;\;9,1;11,5;\;\;2,20;\;E;D;-;
Grande;Mercedes-Benz;AMGGLA354M;;2.0-16V;Combustão;DCT-8;S;E;G;24;93;2;A;\;145;\;\;\;8,7;10,4;\;\;2,35;\;E;D;-;
Grande;Mercedes-Benz;AMGGLA354M;;2.0-16V;Hibrido;DCT-8;S;E;G;14;142;0;A;\;155;\;\;\;8,2;9,7;\;\;2,52;\;E;D;-;
Grande;Mercedes-Benz;GLA200;AMGLINE(L7);1.3-16V;Combustão;DCT-7;S;E;G;33;18;2;A;\;110;\;\;\;11,1;13,6;\;\;1,79;\;B;C;-;
Grande;Mercedes-Benz;GLA200;AMGLINE;1.3-16V;Híbrido;A-7;S;E;G;26;170;2;A;\;113;\;\;\;11,4;12,4;\;\;1,83;\;C;C;-;
Grande;Mercedes-Benz;GLA200;PROGRESSIVE;1.3-16V;Híbrido;A-7;S;E;G;26;170;2;A;\;113;\;\;\;11,4;12,4;\;\;1,83;\;C;C;-;
Grande;Mercedes-Benz;AMGA45S4MATIC;;2.0-16V;Combustão;DCT-8;S;E;G;24;105;7;B;\;154;\;\;\;7,9;10,5;\;\;2,49;\;E;D;-;
Grande;Nissan;LEAF;TEKNA;Elétrico;Elétrico;A;S;E;E;0;0;0;A;\;-;\;\;\;\;\;38,7;31,9;0,58;192;A;A;-;
Grande;Nissan;Sentra;SENSE;2.0-16V;Combustão;CVT;S;E;G;13;147;0;A;\;110;\;\;\;11,0;13,9;\;\;1,79;\;B;C;-;
Grande;Nissan;Sentra;EXCLUSIVE;2.0-16V;Combustão;CVT;S;E;G;13;147;0;A;\;110;\;\;\;11,0;13,9;\;\;1,79;\;B;C;-;
Grande;Nissan;Sentra;ADVANCE;2.0-16V;Combustão;CVT;S;E;G;13;147;0;A;\;110;\;\;\;11,0;13,9;\;\;1,79;\;B;C;-;
Grande;TOYOTA;COROLLACROSS;XRE20;2.0-16V;Combustão;CVT;S;E;F;20;185;3;A;0;109;\;8,2;9,0;11,7;13,0;\;\;1,76;\;B;C;-;
Grande;TOYOTA;COROLLACROSS;XRX20;2.0-16V;Combustão;CVT;S;E;F;20;185;3;A;0;109;\;8,2;9,0;11,7;13,0;\;\;1,76;\;B;C;-;
Grande;TOYOTA;COROLLACROSS;GRS;2.0-16V;Combustão;CVT;S;E;F;20;185;3;A;0;109;\;8,2;9,0;11,7;13,0;\;\;1,76;\;B;C;-;
Grande;TOYOTA;COROLLACROSS;XRVHYBRID;1.8-16V;Híbrido;CVT;S;E;F;18;104;4;A;0;79;\;11,8;9,7;17,8;14,7;\;\;1,31;\;A;B;SIM;
Grande;TOYOTA;COROLLACROSS;XRXHYBRID;1.8-16V;Híbrido;CVT;S;E;F;18;104;4;A;0;79;\;11,8;9,7;17,8;14,7;\;\;1,31;\;A;B;SIM;
Grande;TOYOTA;COROLLACROSS;XR 20;2.0-16V;Combustão;CVT;S;E;F;20;185;3;A;0;109;\;8,2;9,0;11,7;13,0;\;\;1,76;\;B;C;-;
Grande;TOYOTA;COROLLACROSS;XRVHYBRID;1.8-16V;Híbrido;CVT;S;E;F;18;71;3;A;0;80;\;12,5;10,1;17,7;14,6;\;\;1,29;\;A;B;SIM;
Grande;TOYOTA;COROLLACROSS;XRXHYBRID;1.8-16V;Híbrido;CVT;S;E;F;18;71;3;A;0;80;\;12,5;10,1;17,7;14,6;\;\;1,29;\;A;B;SIM;
Grande;TOYOTA;COROLLACROSS;XR 20;2.0-16V;Combustão;CVT;S;E;F;25;169;4;A;0;109;\;8,2;9,3;11,6;13,3;\;\;1,74;\;B;C;-;
Grande;TOYOTA;COROLLACROSS;XRE20;2.0-16V;Combustão;CVT;S;E;F;25;169;4;A;0;109;\;8,2;9,3;11,6;13,3;\;\;1,74;\;B;C;-;
Grande;TOYOTA;COROLLACROSS;XRX20;2.0-16V;Combustão;CVT;S;E;F;25;169;4;A;0;109;\;8,2;9,3;11,6;13,3;\;\;1,74;\;B;C;-;
